Model,RMSE,MAE,MAPE,WMAPE,R²
Stacking Ensemble,159.4920996124017,73.49822131620029,83.81719217645583,38.5344012701368,0.6815403694378279
Random Forest,169.7780011805158,78.03026493660701,131.56363836090088,40.9105075801275,0.6391398968724034
Gradient Boosting,187.6727578509352,85.8500221453857,101.27079929138587,45.01033008905268,0.5590610045362615
LSTM,248.75826661029822,159.65267436058966,2379.0887050814194,85.32060938932146,0.23446757394363593
ARIMA,324.31058302989663,288.91048408054417,7761.312352563411,151.47295166250854,-0.3167346927219421
